pos,voltage
-15,23455
-15,23455
-15,23455
-13,23455
-11,23455
-15,23455
-14,23455
-14,23455
-14,23455
-13,23455
-9,23455
-12,23455
-12,23455
-7,23455
-10,23455
-12,23455
-14,23455
-15,23455
-11,23455
-8,23455
-13,23455
-12,23455
-10,23455
-17,23455
-10,23455
-10,23455
-16,23455
-10,23455
-11,23455
-7,23455
-11,23455
-16,23455
-13,23455
-12,23455
-18,23455
-12,23455
-13,23455
-11,23455
-17,23455
-11,23455
-7,23455
-12,23455
-19,23455
-6,23455
-16,23455
-12,23455
-11,23455
-14,23455
-13,23455
-10,23455
-11,23455
-14,23455
-14,23455
-11,23455
-14,23455
-12,23455
-12,23455
-15,23455
-9,23455
-17,23455
-15,23455
-10,23455
-10,23455
-14,23455
-7,23455
-11,23455
-13,23455
-11,23455
-15,23455
-11,23455
-13,23455
-17,23455
-17,23455
-12,23455
-10,23455
-14,23455
-14,23455
-11,23455
-16,23455
-13,23455
-16,23455
-14,23455
-16,23455
-12,23455
-12,23455
-16,23455
-5,23455
-12,23455
-8,23455
-13,23455
-14,23455
-12,23455
-16,23455
-10,23455
-10,23455
-12,23455
-15,23455
-14,23455
-9,23455
-12,23455
-16,23455
-18,23455
-13,23455
-12,23455
-14,23455
-8,23455
-11,23455
-11,23455
-12,23455
-15,23455
-11,23455
-11,23455
-15,23455
-14,23455
-10,23455
-12,23455
-13,23455
-12,23455
-14,23455
-10,23455
-13,23455
-13,23455
-14,23455
-9,23455
-9,23455
-12,23455
-15,23455
-15,23455
-12,23455
-11,23455
-11,23455
-13,23455
-12,23455
-13,23455
-15,23455
-7,23455
-12,23455
-8,23455
-11,23455
-16,23455
-10,23455
-16,23455
-21,23455
-15,23455
-13,23455
-14,23455
-14,23455
-16,23455
-15,23455
-11,23455
-12,23455
-14,23455
-14,23455
-11,23455
-9,23455
-13,23455
-11,23455
-12,23455
-15,23455
-13,23455
-11,23455
-14,23455
-13,23455
-14,23455
-13,23455
-12,23455
-13,23455
-18,23455
-12,23455
-7,23455
-11,23455
-15,23455
-15,23455
-12,23455
-13,23455
-14,23455
-16,23455
-12,23455
-12,23455
-11,23455
-9,23455
-13,23455
-16,23455
-13,23455
-13,23455
-14,23455
-16,23455
-8,23455
-15,23455
-12,23455
-13,23455
-11,23455
-17,23455
-15,23455
-11,23455
-11,23455
-11,23455
-12,23455
-13,23455
-14,23455
-15,23455
-13,23455
-15,23455
-15,23455
-10,23455
-7,23455
-15,23455
-13,23455
-10,23455
-11,23455
-11,23455
-8,23455
-14,23455
-11,23455
-15,23455
-11,23455
-11,23455
-7,23455
