finestep,counter_asc,counter_desc
-15280,27.0,2.0
-15264,30.0,3.0
-15248,35.0,3.0
-15232,29.0,3.0
-15216,30.0,6.0
-15200,32.0,6.0
-15184,31.0,6.0
-15168,31.0,2.0
-15152,26.0,3.0
-15136,28.0,-1.0
-15120,26.0,6.0
-15104,30.0,7.0
-15088,31.0,1.0
-15072,29.0,1.0
-15056,24.0,2.0
-15040,30.0,6.0
-15024,27.0,-1.0
-15008,27.0,2.0
-14992,32.0,2.0
-14976,31.0,1.0
-14960,32.0,1.0
-14944,30.0,4.0
-14928,28.0,3.0
-14912,29.0,4.0
-14896,31.0,5.0
-14880,27.0,1.0
-14864,25.0,4.0
-14848,25.0,1.0
-14832,27.0,2.0
-14816,26.0,2.0
-14800,22.0,1.0
-14784,29.0,2.0
-14768,28.0,-1.0
-14752,27.0,0.0
-14736,27.0,4.0
-14720,31.0,-1.0
-14704,22.0,2.0
-14688,31.0,-1.0
-14672,28.0,5.0
-14656,26.0,3.0
-14640,27.0,2.0
-14624,26.0,1.0
-14608,25.0,4.0
-14592,27.0,6.0
-14576,28.0,0.0
-14560,27.0,2.0
-14544,31.0,-1.0
-14528,26.0,1.0
-14512,26.0,1.0
-14496,30.0,3.0
-14480,29.0,4.0
-14464,29.0,0.0
-14448,24.0,2.0
-14432,28.0,4.0
-14416,26.0,5.0
-14400,28.0,1.0
-14384,27.0,-3.0
-14368,26.0,0.0
-14352,29.0,3.0
-14336,25.0,2.0
-14320,28.0,-2.0
-14304,28.0,-2.0
-14288,24.0,3.0
-14272,27.0,4.0
-14256,28.0,2.0
-14240,26.0,0.0
-14224,24.0,6.0
